A	Alimentary tract and metabolism
A02BD02	Lansoprazole, tetracycline and metronidazole
A02BD03	Lansoprazole, amoxicillin and metronidazole
A02BD04	Pantoprazole, amoxicillin and clarithromycin
A02BD05	Omeprazole, amoxicillin and clarithromycin
A02BD06	Esomeprazole, amoxicillin and clarithromycin
A02BX	Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
A02BX01	Carbenoxolone
A02BX02	Sucralfate
A02BX03	Pirenzepine
A02BX04	Methiosulfonium chloride
A02BX05	Bismuth subcitrate
A02BX06	Proglumide
A02BX07	Gefarnate
A02BX08	Sulglicotide
A02BX09	Acetoxolone
A02BX10	Zolimidine
A02BX11	Troxipide
A02BX12	Bismuth subnitrate
A02BX13	Alginic acid
A02BX51	Carbenoxolone, combinations excl. psycholeptics
A02BX71	Carbenoxolone, combinations with psycholeptics
A02BX77	Gefarnate, combinations with psycholeptics
A02DA	Antiflatulents
A02X	Other drugs for acid related disorders
A03	Drugs for functional gastrointestinal disorders
A03A	Drugs for functional bowel disorders
A03AA	Synthetic anticholinergics, esters with tertiary amino group
A03AA01	Oxyphencyclimine
A03AA03	Camylofin
A03AA04	Mebeverine
A03AA05	Trimebutine
A03AA06	Rociverine
A03AA07	Dicycloverine
A03AA08	Dihexyverine
A03AA09	Difemerine
A03AA30	Piperidolate
A03AB	Synthetic anticholinergics, quaternary ammonium compounds
A03AB01	Benzilone
A03AB02	Glycopyrronium
A03AB03	Oxyphenonium
A03AB04	Penthienate
A03AB05	Propantheline
A03AB06	Otilonium bromide
A03AB07	Methantheline
A03AB08	Tridihexethyl
A03AB09	Isopropamide
A03AB10	Hexocyclium
A03AB11	Poldine
A03AB12	Mepenzolate
A03AB13	Bevonium
A03AB14	Pipenzolate
A03AB15	Diphemanil
A03AB16	(2-benzhydryloxyethyl)diethylmethylammonium iodide
A03AB17	Tiemonium iodide
A03AB18	Prifinium bromide
A03AB19	Timepidium bromide
A03AB20	Trospium
A03AB21	Fenpiverinium
A03AB53	Oxyphenonium, combinations
A03AC	Synthetic antispasmodics, amides with tertiary amines
A03AC02	Dimethylaminopropionylphenothiazine
A03AC04	Nicofetamide
A03AC05	Tiropramide
A03AD	Papaverine and derivatives
A03AD01	Papaverine
A03AD02	Drotaverine
A03AD30	Moxaverine
A03AE	Drugs acting on serotonin receptors
A03AE01	Alosetron
A03AE02	Tegaserod
A03AX	Other drugs for functional bowel disorders
A03AX01	Fenpiprane
A03AX02	Diisopromine
A03AX03	Chlorbenzoxamine
A03AX04	Pinaverium
A03AX05	Fenoverine
A03AX06	Idanpramine
A03AX07	Proxazole
A03AX08	Alverine
A03AX09	Trepibutone
A03AX10	Isometheptene
A03AX11	Caroverine
A03AX12	Phloroglucinol
A03AX13	Silicones
A03AX30	Trimethyldiphenylpropylamine
A03AX58	Alverine, combinations
A03B	Belladonna and derivatives, plain
A03BA	Belladonna alkaloids, tertiary amines
A03BA01	Atropine
A03BA03	Hyoscyamine
A03BA04	Belladonna total alkaloids
A03BB	Belladonna alkaloids semisynthetic, quaternary ammonium compounds
A03BB01	Butylscopolamine
A03BB02	Methylatropine
A03BB03	Methylscopolamine
A03BB04	Fentonium
A03BB05	Cimetropium bromide
A03C	Antispasmodics in combination with psycholeptics
A03CA	Synthetic anticholinergic agents in combination with psycholeptics
A03CA01	Isopropamide and psycholeptics
A03CA02	Clidinium and psycholeptics
A03CA03	Oxyphencyclimine and psycholeptics
A03CA04	Otilonium bromide and psycholeptics
A03CA05	Glycopyrronium and psycholeptics
A03CA06	Bevonium and psycholeptics
A03CA07	Ambutonium and psycholeptics
A03CA08	Diphemanil and psycholeptics
A03CA30	Emepronium and psycholeptics
A03CA34	Propantheline and psycholeptics
A03CB	Belladonna and derivatives in combination with psycholeptics
A03CB01	Methylscopolamine and psycholeptics
A03CB02	Belladonna total alkaloids and psycholeptics
A03CB03	Atropine and psycholeptics
A03CB04	Methylhomatropine and psycholeptics
A03CB31	Hyoscyamine and psycholeptics
A03CC	Other antispasmodics in combination with psycholeptics
A03D	Antispasmodics in combination with analgesics
A03DA	Synthetic anticholinergic agents in combination with analgesics
A03DA01	Tropenzilone and analgesics
A03DA02	Pitofenone and analgesics
A03DA03	Bevonium and analgesics
A03DA04	Ciclonium and analgesics
A03DA05	Camylofin and analgesics
A03DA06	Trospium and analgesics
A03DA07	Tiemonium iodide and analgesics
A03DB	Belladonna and derivatives in combination with analgesics
A03DB04	Butylscopolamine and analgesics
A03DC	Other antispasmodics in combination with analgesics
A03E	Antispasmodics and anticholinergics in combination with other drugs
A03EA	Antispasmodics, psycholeptics and analgesics in combination
A03ED	Antispasmodics in combination with other drugs
A03F	Propulsives
A03FA	Propulsives
A03FA01	Metoclopramide
A03FA02	Cisapride
A03FA03	Domperidone
A03FA04	Bromopride
A03FA05	Alizapride
A03FA06	Clebopride
A04	Antiemetics and antinauseants
A04A	Antiemetics and antinauseants
A04AA	Serotonin (5HT<v>3<D>) antagonists
A04AA01	Ondansetron
A04AA02	Granisetron
A04AA03	Tropisetron
A04AA04	Dolasetron
A04AD	Other antiemetics
A04AD01	Scopolamine
A04AD02	Cerium oxalate
A04AD04	Chlorobutanol
A04AD05	Metopimazine
A04AD10	Dronabinol
A04AD11	Nabilone
A04AD51	Scopolamine, combinations
A04AD54	Chlorobutanol, combinations
A05	Bile and liver Therapy
A05A	Bile therapy
A05AA	Bile acid preparations
A05AA01	Chenodeoxycholic acid
A05AA02	Ursodeoxycholic acid
A05AB	Preparations for biliary tract therapy
A05AB01	Nicotinyl methylamide
A05AX	Other drugs for bile therapy
A05AX01	Piprozolin
A05AX02	Hymecromone
A05AX03	Cyclobutyrol
A05B	Liver therapy, lipotropics
A05BA	Liver therapy
A05BA01	Arginine glutamate
A05BA03	Silymarin
A05BA04	Citiolone
A05BA05	Epomediol
A05BA06	Ornithine oxoglurate
A05BA07	Tidiacic arginine
A05C	Drugs for bile therapy and lipotropics in combination
A06	Laxatives
A06A	Laxatives
A06AA	Softeners, emollients
A06AA01	Liquid paraffin
A06AA02	Docusate sodium
A06AA51	Liquid paraffin, combinations
A06AB	Contact laxatives
A06AB01	Acetphenolisatin
A06AB02	Bisacodyl
A06AB03	Dantron
A06AB04	Phenolphthalein
A06AB05	Castor oil
A06AB06	Senna glycosides
A06AB07	Cascara
A06AB08	Sodium picosulfate
A06AB09	Bisoxatin
A06AB20	Contact laxatives in combination
A06AB30	Contact laxatives in combination with belladonna alkaloids
A06AB52	Bisacodyl, combinations
A06AB53	Dantron, combinations
A06AB56	Senna glycosides, combinations
A06AB57	Cascara, combinations
A06AB58	Sodium picosulfate, combinations
A06AC	Bulk producers
A06AC01	Ispaghula (psylla seeds)
A06AC02	Ethulose
A06AC03	Sterculia
A06AC05	Linseed
A06AC06	Methylcellulose
A06AC07	Triticum (wheat fibre)
A06AC08	Polycarbophil calcium
A06AC51	Ispaghula, combinations
A06AC53	Sterculia, combinations
A06AC55	Linseed, combinations
A06AD	Osmotically acting laxatives
A06AD01	Magnesium carbonate
A06AD02	Magnesium oxide
A06AD03	Magnesium peroxide
A06AD04	Magnesium sulfate
A06AD10	Mineral salts in combination
A06AD11	Lactulose
A06AD12	Lactitol
A06AD13	Sodium sulfate
A06AD14	Pentaerythrityl
A06AD15	Macrogol
A06AD16	Mannitol
A06AD17	Sodium phosphate
A06AD18	Sorbitol
A06AD19	Magnesium citrate
A06AD21	Sodium tartrate
A06AD61	Lactulose, combinations
A06AD65	Macrogol, combinations
A06AG	Enemas
A06AG01	Sodium phosphate
A06AG02	Bisacodyl
A06AG03	Dantron, incl. combinations
A06AG04	Glycerol
A06AG06	Oil
A06AG07	Sorbitol
A06AG10	Docusate sodium, incl. combinations
A06AG11	Laurilsulfate, incl. combinations
A06AG20	Combinations
A06AX	Other laxatives
A06AX01	Glycerol
A06AX02	Carbon dioxide producing drugs
A07	Antidiarrheals, intestinal antiinflammatory/ antiinfective agents
A07A	Intestinal antiinfectives
A07AA	Antibiotics
A07AA01	Neomycin
A07AA02	Nystatin
A07AA03	Natamycin
A07AA04	Streptomycin
A07AA05	Polymyxin B
A07AA06	Paromomycin
A07AA07	Amphotericin
A07AA08	Kanamycin
A07AA09	Vancomycin
A07AA10	Colistin
A07AA11	Rifaximin
A07AA51	Neomycin, combinations
A07AA54	Streptomycin, combinations
A07AB	Sulfonamides
A07AB02	Phthalylsulfathiazole
A07AB03	Sulfaguanidine
A07AB04	Succinylsulfathiazole
A07AC	Imidazole derivatives
A07AC01	Miconazole
A07AX	Other intestinal antiinfectives
A07AX01	Broxyquinoline
A07AX02	Acetarsol
A07AX03	Nifuroxazide
A07AX04	Nifurzide
A07B	Intestinal adsorbents
A07BA	Charcoal preparations
A07BA01	Medicinal charcoal
A07BA51	Medicinal charcoal, combinations
A07BB	Bismuth preparations
A07BC	Other intestinal adsorbents
A07BC01	Pectin
A07BC02	Kaolin
A07BC03	Crospovidone
A07BC04	Attapulgite
A07BC05	Diosmectite
A07BC30	Combinations
A07BC54	Attapulgite, combinations
A07C	Electrolytes with carbohydrates
A07CA	Oral rehydration salt formulations
A07D	Antipropulsives
A07DA	Antipropulsives
A07DA01	Diphenoxylate
A07DA02	Opium
A07DA03	Loperamide
A07DA04	Difenoxin
A07DA05	Loperamide oxide
A07DA52	Morphine, combinations
A07DA53	Loperamide, combinations
A07E	Intestinal antiinflammatory agents
A07EA	Corticosteroids for local use
A07EA01	Prednisolone
A07EA02	Hydrocortisone
A07EA03	Prednisone
A07EA04	Betamethasone
A07EA05	Tixocortol
A07EA06	Budesonide
A07EA07	Beclometasone
A07EB	Antiallergic agents, excl. corticosteroids
A07EB01	Cromoglicic acid
A07EC	Aminosalicylic acid and similar agents
A07EC01	Sulfasalazine
A07EC02	Mesalazine
A07EC03	Olsalazine
A07EC04	Balsalazide
A07F	Antidiarrheal microorganisms
A07FA	Antidiarrheal microorganisms
A07FA01	Lactic acid producing organisms
A07FA02	Saccharmomyces boulardii
A07FA51	Lactic acid producing organisms, combinations
A07X	Other antidiarrheals
A07XA	Other antidiarrheals
A07XA01	Albumin tannate
A07XA02	Ceratonia
A07XA03	Calcium compounds
A07XA04	Acetorphan
A07XA51	Albumin tannate, combinations
A08	Antiobesity preparations, excl. diet products
A08A	Antiobesity preparations, excl. diet products
A08AA	Centrally acting antiobesity products
A08AA01	Phentermine
A08AA02	Fenfluramine
A08AA03	Amfepramone
A08AA04	Dexfenfluramine
A08AA05	Mazindol
A08AA06	Etilamfetamine
A08AA07	Cathine
A08AA08	Clobenzorex
A08AA09	Mefenorex
A08AA10	Sibutramine
A08AA56	Ephedrine, combinations
A08AB	Peripherally acting antiobesity products
A08AB01	Orlistat
A09	Digestives, incl. enzymes
A09A	Digestives, incl. enzymes
A09AA	Enzyme preparations
A09AA01	Diastase
A09AA02	Multienzymes (lipase, protease etc.)
A09AA03	Pepsin
A09AA04	Tilactase
A09AB	Acid preparations
A09AB01	Glutamic acid hydrochloride
A09AB02	Betaine hydrochloride
A09AB03	Hydrochloric acid
A09AB04	Citric acid
A09AC	Enzyme and acid preparations, combinations
A09AC01	Pepsin and acid preparations
A09AC02	Multienzymes and acid preparations
A10	Drugs used in diabetes
A10A	Insulins and analogues
A10AB	Insulins and analogues, fast-acting
A10AB01	Insulin (human)
A10AB02	Insulin (beef)
A10AB03	Insulin (pork)
A10AB04	Insulin lispro
A10AB05	Insulin aspart
A10AB30	Combinations
A10AC	Insulins and analogues, intermediate-acting
A10AC01	Insulin (human)
A10AC02	Insulin (beef)
A10AC03	Insulin (pork)
A10AC04	Insulin lispro
A10AC30	Combinations
A10AD	Insulins and analogues, intermediate-acting combined with fast-acting
A10AD01	Insulin (human)
A10AD02	Insulin (beef)
A10AD03	Insulin (pork)
A10AD04	Insulin lispro
A10AD30	Combinations
A10AE	Insulins and analogues, long-acting
A10AE01	Insulin (human)
A10AE02	Insulin (beef)
A10AE03	Insulin (pork)
A10AE04	Insulin glargine
A10AE30	Combinations
A10B	Oral blood glucose lowering drugs
A10BA	Biguanides
A10BA01	Phenformin
A10BA02	Metformin
A10BA03	Buformin
A10BB	Sulfonamides, urea derivatives
A10BB01	Glibenclamide
A10BB02	Chlorpropamide
A10BB03	Tolbutamide
A10BB04	Glibornuride
A10BB05	Tolazamide
A10BB06	Carbutamide
A10BB07	Glipizide
A10BB08	Gliquidone
A10BB09	Gliclazide
A10BB10	Metahexamide
A10BB11	Glisoxepide
A10BB12	Glimepiride
A10BB31	Acetohexamide
A10BC	Sulfonamides (heterocyclic)
A10BC01	Glymidine
A10BD	Biguanides and sulfonamides in combination
A10BD01	Phenformin and sulfonamides
A10BD02	Metformin and sulfonamides
A10BF	Alpha glucosidase inhibitors
A10BF01	Acarbose
A10BF02	Miglitol
A10BF03	Voglibose
A10BG	Thiazolidinediones
A10BG01	Troglitazone
A10BG02	Rosiglitazone
A10BG03	Pioglitazone
A10BX	Other oral blood glucose lowering drugs
A10BX01	Guar gum
A10BX02	Repaglinide
A10BX03	Nateglinide
A10X	Other drugs used in diabetes
A10XA	Aldose reductase inhibitors
A10XA01	Tolrestat
A11	Vitamins
A11A	Multivitamins, combinations
A11AA	Multivitamins with minerals
A11AA01	Multivitamins and iron
A11AA02	Multivitamins and calcium
A11AA03	Multivitamins and other minerals, incl. combinations
A11AA04	Multivitamins and trace elements
A11AB	Multivitamins, other combinations
A11B	Multivitamins, plain
A11BA	Multivitamins, plain
A11C	Vitamin A and D, incl. combinations of the two
A11CA	Vitamin A, plain
A11CA01	Retinol (vitamin A)
A11CA02	Betacarotene
A11CB	Vitamin A and D in combination
A11CC	Vitamin D and analogues
A11CC01	Ergocalciferol
A11CC02	Dihydrotachysterol
A11CC03	Alfacalcidol
A11CC04	Calcitriol
A11CC05	Colecalciferol
A11CC06	Calcifediol
A11CC20	Combinations
A11D	Vitamin B<v>1<D>, plain and in combination with vitamin B<v>6<D> and vitamin B<v>12<D>
A11DA	Vitamin B<v>1<D>, plain
A11DA01	Thiamine (vitamin B1)
A11DA02	Sulbutiamine
A11DB	Vitamin B<v>1<D> in comb. with vitamin B<v>6<D> and/or vitamin B<v>12<D>
A11E	Vitamin B-complex, incl. combinations
A11EA	Vitamin B-complex, plain
A11EB	Vitamin B-complex with vitamin C
A11EC	Vitamin B-complex with minerals
A11ED	Vitamin B-complex with anabolic steroids
A11EX	Vitamin B-complex, other combinations
A11G	Ascorbic acid (vitamin C), incl. combinations
A11GA	Ascorbic acid (vitamin C), plain
A11GA01	Ascorbic acid (vitamin C)
A11GB	Ascorbic acid (vitamin C), combinations
A11GB01	Ascorbic acid (vitamin C) and calcium
A11H	Other plain vitamin preparations
A11HA	Other plain vitamin preparations
A11HA01	Nicotinamide
A11HA02	Pyridoxine (vitamin B<v>6<D>)
A11HA03	Tocopherol (vitamin E)
A11HA04	Riboflavin (vitamin B<v>2<D>)
A11HA05	Biotin
A11HA06	Pyridoxal phosphate
A11HA07	Inositol
A11HA30	Dexpanthenol
A11HA31	Calcium pantothenate
A11HA32	Pantethine
A11J	Other vitamin products, combinations
A11JA	Combinations of vitamins
A11JB	Vitamins with minerals
A11JC	Vitamins, other combinations
A12	Mineral supplements
A12A	Calcium
A12AA	Calcium
A12AA01	Calcium phosphate
A12AA02	Calcium glubionate
A12AA03	Calcium gluconate
A12AA04	Calcium carbonate
A12AA05	Calcium lactate
A12AA06	Calcium lactate gluconate
A12AA07	Calcium chloride
A12AA08	Calcium glycerylphosphate
A12AA09	Calcium citrate lysine complex
A12AA10	Calcium glucoheptonate
A12AA11	Calcium pangamate
A12AA12	Calcium acetate anhydrous
A12AA20	Calcium (different salts in combination)
A12AA30	Calcium laevulate
A12AX	Calcium, combinations with other drugs
A12B	Potassium
A12BA	Potassium
A12BA01	Potassium chloride
A12BA02	Potassium citrate
A12BA03	Potassium hydrogentartrate
A12BA04	Potassium hydrogencarbonate
A12BA05	Potassium gluconate
A12BA30	Combinations
A12BA51	Potassium chloride, combinations
A12C	Other mineral supplements
A12CA	Sodium
A12CA01	Sodium chloride
A12CA02	Sodium sulfate
A12CB	Zinc
A12CB01	Zinc sulfate
A12CB02	Zinc gluconate
A12CB03	Zinc protein complex
A12CC	Magnesium
A12CC01	Magnesium chloride
A12CC02	Magnesium sulfate
A12CC03	Magnesium gluconate
A12CC04	Magnesium citrate
A12CC05	Magnesium aspartate
A12CC06	Magnesium lactate
A12CC07	Magnesium levulinate
A12CC08	Magnesium pidolate
A12CC09	Magnesium orotate
A12CC10	Magnesium oxide
A12CC30	Magnesium (different salts in combination)
A12CD	Fluoride
A12CD01	Sodium fluoride
A12CD02	Sodium monofluorophosphate
A12CD51	Fluoride, combinations
A12CE	Selenium
A12CE01	Sodium selenate
A12CE02	Sodium selenite
A12CX	Other mineral products
A13	Tonics
A13A	Tonics
A14	Anabolic agents for systemic use
A14A	Anabolic steroids
A14AA	Androstan derivatives
A14AA01	Androstanolone
A14AA02	Stanozolol
A14AA03	Metandienone
A14AA04	Metenolone
A14AA05	Oxymetholone
A14AA06	Quinbolone
A14AA07	Prasterone
A14AA08	Oxandrolone
A14AA09	Norethandrolone
A14AB	Estren derivatives
A14AB01	Nandrolone
A14AB02	Ethylestrenol
A14AB03	Oxabolone cipionate
A14B	Other anabolic agents
A15	Appetite stimulants
A16	Other alimentary tract and metabolism products
A16A	Other alimentary tract and metabolism products
A16AA	Amino acids and derivatives
A16AA01	Levocarnitine
A16AA02	Ademetionine
A16AA03	Levoglutamide
A16AA04	Mercaptamine
A16AA05	Carglutamic acid
A16AA06	Betaine
A16AB	Enzymes
A16AB01	Alglucerase
A16AB02	Imiglucerase
A16AB03	Agalsidase alfa
A16AB04	Agalsidase beta
A16AX	Various alimentary tract and metabolism products
A16AX01	Tioctic acid
A16AX02	Anethole trithione
A16AX03	Sodium phenylbutyrate
A16AX04	Nitisinone
A16AX05	Zinc acetate
B	Blood and blood forming organs
B01	Antithrombotic agents
B01A	Antithrombotic agents
B01AA	Vitamin K antagonists
B01AA01	Dicoumarol
B01AA02	Phenindione
B01AA03	Warfarin
B01AA04	Phenprocoumon
B01AA07	Acenocoumarol
B01AA08	Ethyl biscoumacetate
B01AA09	Clorindione
B01AA10	Diphenadione
B01AA11	Tioclomarol
B01AB	Heparin group
B01AB01	Heparin
B01AB02	Antithrombin III
B01AB04	Dalteparin
B01AB05	Enoxaparin
B01AB06	Nadroparin
B01AB07	Parnaparin
B01AB08	Reviparin
B01AB09	Danaparoid
B01AB10	Tinzaparin
B01AB11	Sulodexide
B01AB51	Heparin, combinations
B01AC	Platelet aggregation inhibitors excl. heparin
B01AC01	Ditazole
B01AC02	Cloricromen
B01AC03	Picotamide
B01AC04	Clopidogrel
B01AC05	Ticlopidine
B01AC06	Acetylsalicylic acid
B01AC07	Dipyridamole
B01AC08	Carbasalate calcium
B01AC09	Epoprostenol
B01AC10	Indobufen
B01AC11	Iloprost
B01AC13	Abciximab
B01AC14	Anagrelide
B01AC15	Aloxiprin
B01AC16	Intrifiban
B01AC17	Tirofiban
B01AC18	Triflusal
B01AC30	Combinations
B01AD	Enzymes
B01AD01	Streptokinase
B01AD02	Alteplase
B01AD03	Anistreplase
B01AD04	Urokinase
B01AD05	Fibrinolysin
B01AD06	Brinase
B01AD07	Reteplase
B01AD08	Saruplase
B01AD09	Ancrod
B01AD10	Drotrecogin alfa
B01AX	Other antithrombotic agents
B01AX01	Defibrotide
B01AX02	Desirudin
B01AX03	Lepirudin
B01AX04	Dermatan sulfate
B02	Antihemorrhagics
B02A	Antifibrinolytics
B02AA	Amino acids
B02AA01	Aminocaproic acid
B02AA02	Tranexamic acid
B02AA03	Aminomethylbenzoic acid
B02AB	Proteinase inhibitors
B02AB01	Aprotinin
B02AB02	Alfa<v>1<D> antitrypsin
B02AB03	C1-inhibitor
B02AB04	Camostat
B02B	Vitamin K and other hemostatics
B02BA	Vitamin K
B02BA01	Phytomenadione
B02BA02	Menadione
B02BB	Fibrinogen
B02BB01	Human fibrinogen
B02BC	Local hemostatics
B02BC01	Absorbable gelatin sponge
B02BC02	Oxidized cellulose
B02BC03	Tetragalacturonic acid hydroxymethylester
B02BC05	Adrenalone
B02BC06	Thrombin
B02BC07	Collagen
B02BC08	Calcium alginate
B02BC09	Epinephrine
B02BC10	Fibrinogen, human
B02BD	Blood coagulation factors
B02BD01	Coagulation factor IX, II, VII and X in combination
B02BD02	Coagulation factor VIII
B02BD03	Factor VIII inhibitor bypassing activity
B02BD04	Coagulation factor IX
B02BD05	Coagulation factor VII
B02BD06	Von Willebrand factor and coagulation factor VIII in combination
B02BD07	Coagulation factor XIII
B02BD08	Eptacog alfa (activated)
B02BD09	Nonacog alfa
B02BD30	Thrombin
B02BX	Other systemic hemostatics
B02BX01	Etamsylate
B02BX02	Carbazochrome
B02BX03	Batroxobin
B03	Antianemic preparations
B03A	Iron preparations
B03AA	Iron bivalent, oral preparations
B03AA01	Ferrous glycine sulfate
B03AA02	Ferrous fumarate
B03AA03	Ferrous gluconate
B03AA04	Ferrous carbonate
B03AA05	Ferrous chloride
B03AA06	Ferrous succinate
B03AA07	Ferrous sulfate
B03AA08	Ferrous tartrate
B03AA09	Ferrous aspartate
B03AA10	Ferrous ascorbate
B03AA11	Ferrous iodine
B03AB	Iron trivalent, oral preparations
B03AB01	Ferric sodium citrate
B03AB02	Saccharated iron oxide
B03AB03	Sodium feredetate
B03AB04	Ferric hydroxide
B03AB05	Dextriferron
B03AB06	Ferric citrate
B03AB07	Chondroitin sulfate-iron complex
B03AB08	Ferric acetyl transferrin
B03AB09	Ferric proteinsuccinylate
B03AC	Iron trivalent, parenteral preparations
B03AC01	Dextriferron
B03AC02	Saccharated iron oxide
B03AC03	Iron-sorbitol-citric acid complex
B03AC05	Ferric sorbitol gluconic acid complex
B03AC06	Ferric oxide dextran complex
B03AD	Iron in combination with folic acid
B03AD01	Ferrous amino acid complex
B03AD02	Ferrous fumarate
B03AD03	Ferrous sulfate
B03AE	Iron in other combinations
B03AE01	Iron, vitamin B<v>12<D> and folic acid
B03AE02	Iron, multivitamins and folic acid
B03AE03	Iron and multivitamins
B03AE04	Iron, multivitamins and minerals
B03AE10	Various combinations
B03B	Vitamin B<v>12<D> and folic acid
B03BA	Vitamin B<v>12<D> (cyanocobalamin and derivatives)
B03BA01	Cyanocobalamin
B03BA02	Cyanocobalamin tannin complex
B03BA03	Hydroxocobalamin
B03BA04	Cobamamide
B03BA51	Cyanocobalamin, combinations
B03BA53	Hydroxocobalamin, combinations
B03BB	Folic acid and derivatives
B03BB01	Folic acid
B03BB51	Folic acid, combinations
B03X	Other antianemic preparations
B03XA	Other antianemic preparations
B03XA01	Erythropoietin
B03XA02	Darbepoetin alfa
B05	Blood substitutes and perfusion solutions
B05A	Blood and related products
B05AA	Blood substitutes and plasma protein fractions
B05AA01	Albumin
B05AA02	Other plasma protein fractions
B05AA03	Fluorocarbon blood substitutes
B05AA05	Dextran
B05AA06	Gelatin agents
B05AA07	Hydroxyethylstarch
B05AA08	Hemoglobin crosfumaril
B05AA09	Hemoglobin raffimer
B05B	I.V. solutions
B05BA	Solutions for parenteral nutrition
B05BA01	Amino acids
B05BA02	Fat emulsions
B05BA03	Carbohydrates
B05BA04	Protein hydrolysates
B05BA10	Combinations
B05BB	Solutions affecting the electrolyte balance
B05BB01	Electrolytes
B05BB02	Electrolytes with carbohydrates
B05BB03	Trometamol
B05BC	Solutions producing osmotic diuresis
B05BC01	Mannitol
B05BC02	Carbamide
B05C	Irrigating solutions
B05CA	Antiinfectives
B05CA01	Cetylpyridinium
B05CA02	Chlorhexidine
B05CA03	Nitrofural
B05CA04	Sulfamethizole
B05CA05	Taurolidine
B05CA06	Mandelic acid
B05CA07	Noxytiolin
B05CA08	Ethacridine lactate
B05CA09	Neomycin
B05CA10	Combinations
B05CB	Salt solutions
B05CB01	Sodium chloride
B05CB02	Sodium citrate
B05CB03	Magnesium citrate
B05CB04	Sodium bicarbonate
B05CB10	Combinations
B05CX	Other irrigating solutions
B05CX01	Glucose
B05CX02	Sorbitol
B05CX03	Glycine
B05CX04	Mannitol
B05CX10	Combinations
B05D	Peritoneal dialytics
B05DA	Isotonic solutions
B05DB	Hypertonic solutions
B05X	I.V. solution additives
B05XA	Electrolyte solutions
B05XA01	Potassium chloride
B05XA02	Sodium bicarbonate
B05XA03	Sodium chloride
B05XA04	Ammonium chloride
B05XA05	Magnesium sulfate
B05XA06	Potassium phosphate, incl. comb. with other potassium salts
B05XA07	Calcium chloride
B05XA08	Sodium acetate
B05XA09	Sodium phosphate
B05XA10	Magnesium phosphate
B05XA11	Magnesium chloride
B05XA12	Zinc chloride
B05XA13	Hydrochloric acid
B05XA14	Sodium glycerophosphate
B05XA15	Potassium lactate
B05XA16	Cardioplegia solutions
B05XA30	Combinations of electrolytes
