"Grouper_id","Grouper","Grouper_Description"
91,"D11","DIARRHOEA"
92,"D12","CONSTIPATION"
93,"D13","JAUNDICE"
94,"D14","HAEMATEMESIS/VOMITING BLOOD"
95,"D15","MELAENA"
96,"D16","RECTAL BLEEDING"
97,"D17","INCONTINENCE OF BOWEL"
98,"D18","CHANGE FAECES/BOWEL MOVEMENT"
99,"D19","TEETH/GUM SYMPT/COMPLAINT"
100,"D20","MOUTH/TONGUE/LIP SYMPT/COMPL"
101,"D21","SWALLOWING PROBLEMS"
102,"D23","HEPATOMEGALY"
103,"D24","ABDOMINAL MASS NOS"
104,"D25","ABDOMINAL DISTENSION"
105,"D26","FEAR, CANCER DIGESTIVE SYSTEM"
106,"D27","FEAR, DIGESTIVE DISEASE, OTHER"
107,"D28","LIMITED FUNCTN/DISABIL DIGEST"
108,"D29","SYMPT/COMPLAINT, DIGESTIVE"
109,"D30","MED EXAM/CHECK, FULL, DIGESTIVE"
110,"D31","MED EXAM/CHECK, PART, DIGESTIVE"
111,"D44","PREVENT IMMUNISE/VACC, DIGEST"
112,"D70","GASTROINTESTINAL INFECTION"
113,"D71","MUMPS"
114,"D72","VIRAL HEPATITIS"
115,"D73","GASTROENTERITIS PRESUM INFECT"
116,"D74","MALIGNT NEOPLASM STOMACH"
117,"D75","MALIGNT NEOPLASM COLON/RECTUM"
118,"D76","MALIGNT NEOPLASM PANCREAS"
119,"D77","MALIGNT NEOPLASM DIGEST OTHER"
120,"D78","BENIGN/UNCERT NEOPLASM DIGEST"
121,"D79","FOREIGN BODY IN DIGESTIVE SYST"
122,"D80","INJURY DIGESTIVE SYSTEM, OTHER"
123,"D81","CONGENITAL ANOMALY DIGESTIVE"
124,"D82","TEETH/GUM DISEASE"
125,"D83","MOUTH/TONGUE/LIP DISEASE"
126,"D84","OESOPHAGUS DISEASE"
127,"D85","DUODENAL ULCER"
128,"D86","PEPTIC ULCERS, OTHER"
129,"D87","STOMACH FUNCTION DISORDER"
130,"D88","APPENDICITIS"
131,"D89","INGUINAL HERNIA"
132,"D90","HIATUS HERNIA"
133,"D91","ABDOMINAL HERNIA, OTHER"
134,"D92","DIVERTICULAR DISEASE"
135,"D93","IRRITABLE BOWEL SYNDROME"
136,"D94","CHRONIC ENTERITIS/ULCERATIVE COL"
137,"D95","ANAL FISSURE/PERIANAL ABSCESS"
138,"D96","WORMS/OTHER PARASITES"
812,"D97","LIVER DISEASE NOS"
139,"D98","CHOLECYSTITIS, CHOLELITHIASIS"
140,"D99","DISEASE, DIGESTIVE, OTHER"
141,"F01","PAIN, EYE"
142,"F02","RED EYE"
143,"F03","EYE DISCHARGE"
144,"F04","VISUAL FLOATERS/SPOTS"
145,"F05","VISUAL DISTURBANCE, OTHER"
146,"F13","EYE SENSATIONS ABNORMAL"
147,"F14","EYE MOVEMENTS ABNORMAL"
148,"F15","EYE APPEARANCE ABNORMAL"
149,"F16","EYELID SYMPT/COMPLAINT"
150,"F17","GLASSES SYMPT/COMPLAINT"
151,"F18","CONTACT LENS SYMPT/COMPLAINT"
152,"F27","FEAR, EYE DISEASE"
153,"F28","LIMITED FUNCTN/DISABIL EYE"
154,"F29","EYE SYMPT/COMPLAINT, OTHER"
155,"F30","MED EXAM/CHECK, FULL, EYE"
156,"F31","MED EXAM/CHECK, PART, EYE"
157,"F70","CONJUNCTIVITIS, INFECTIOUS"
158,"F71","CONJUNCTIVITIS, ALLERGIC"
159,"F72","BLEPHARITIS/STYE/CHALAZION"
160,"F73","EYE INFECTIONS/INFLAMM, OTHER"
813,"F74","NEOPLASM OF EYE/ADNEXA"
161,"F75","CONTUSION/ABRASIONS EYE"
162,"F76","FOREIGN BODY IN EYE"
163,"F79","INJURY EYE, OTHER"
164,"F80","BLOCKED LACRIMAL DUCT, INFANT"
814,"F81","CONGENITAL ANOMALY EYE OTHER"
165,"F82","DETACHED RETINA"
166,"F83","RETINOPATHY"
167,"F84","MACULAR DEGENERATION"
168,"F85","CORNEAL ULCER (INCL HERPETIC)"
815,"F86","TRACHOMA"
169,"F91","REFRACTIVE ERROR"
170,"F92","CATARACT"
171,"F93","GLAUCOMA"
172,"F94","BLINDNESS"
173,"F95","STRABISMUS"
174,"F99","EYE/ADNEXA DISEASE, OTHER"
175,"G01","ABDOMINAL PAIN (ALL)"
176,"G02","ANXIETY  (ALL)"
177,"G03","ARTHRITIS ( EXCL OA  & RHEUMATOID)"
178,"G04","BACK  COMPLAINTS (ALL)"
179,"G05","CHECK-UPS (ALL)"
180,"G06","CHECK-UPS GENERAL (ALL)"
181,"G07","CHECK-UPS BLOOD (ALL)"
182,"G08","CHECK-UPS DIGESTIVE (ALL)"
183,"G09","CHECK-UPS EYE ( ALL)"
184,"G10","CHECK-UPS EAR (ALL)"
185,"G11","CHECK-UPS CARDIOVASCULAR (ALL)"
186,"G12","CHECK-UPS MUSCULOSKELETAL (ALL)"
187,"G13","CHECK-UPS NEUROLOGICAL (ALL)"
188,"G14","CHECK-UPS PSYCHOLOGICAL (ALL)"
189,"G15","CHECK-UPS RESPIRATORY (ALL)"
190,"G16","CHECK-UPS SKIN (ALL)"
191,"G17","ENDOCRINE/METABOLIC (ALL)"
192,"G18","CHECK-UPS UROLOGICAL (ALL)"
193,"G19","CHECK-UPS PRE/POSTNATAL ( ALL)"
194,"G20","CHECK-UPS FEMALE GENITAL (ALL)"
195,"G21","CHECK-UPS MALE GENITAL (ALL)"
196,"G22","CHECK-UPS SOCIAL (ALL)"
197,"G23","URINARY TRACT INFECTNS ( UTI) (ALL)"
198,"G24","DEPRESSION (ALL)"
786,"G25","HYPERTENSION/HIGH BP"
199,"G26","HYPERTENSION (ALL)"
200,"G27","IMMUNISATION/VACCINATION (ALL)"
787,"G28","ORAL CONTRACEPTION"
201,"G29","OSTEOARTHRITIS (ALL)"
788,"G30","PREGNANCY (ALL)"
789,"G31","PRESCRIPTION (ALL)"
202,"G32","RASH (SKIN) (ALL)"
203,"G33","SPRAIN/STRAINS (ALL)"
204,"G34","SWELLING (SKIN) (ALL)"
790,"G35","TEST RESULTS (ALL)"
205,"G36","TONSILLITIS (ALL)"
206,"G37","FRACTURES (ALL)"
207,"G40","DIABETES (ALL)"
208,"G42","ANAEMIA (ALL)"
209,"G43","MENSTRUAL PROBLEMS (ALL)"
210,"G44","ABNORMAL TEST RESULTS (ALL)"
211,"G45","IHD (ALL)  (+/-ANGINA)"
212,"G63","WEIGHT PROBLEMS (ALL)"
213,"G64","VISUAL ACUITY PROBLEMS ( ALL)"
214,"G66","ALLERGY (ALL)"
215,"G67","ARTHRITIS (ALL INCL OA & RHEUMATOI)"
216,"G68","BLOOD PRESSURE PROBLEMS (ALL)"
760,"G69","CHECK-UPS (WORK)"
217,"G70","NEOPLASMS BENIGN"
218,"G71","NEOPLASMS MALIGNANT (ALL)"
219,"G72","NEOPLASMS UNSPECIFIED"
220,"G73","NEOPLASMS  UNCERTAIN NATURE (ALL)"
221,"G74","NEOPLASMS (ALL)"
222,"G75","DEAFNESS (ALL)"
223,"G76","DEMENTIA ( ALL)"
224,"G77","DIABETES (NON-GESTATIONAL)"
225,"G78","HYPERTENSION  (NON-GESTATIONAL)"
226,"G79","NEUROSES (ALL)"
227,"G80","PSYCHOSES (ALL) ( INCL O.B.S)"
228,"G81","RHINITIS ( ALL)"
229,"G82","STDs (ALL)"
230,"H01","PAIN, EAR/EARACHE (ALL)"
231,"H02","HEARING COMPLAINT"
232,"H03","TINNITUS, RINGING/BUZZING EAR"
233,"H04","EAR DISCHARGE ( EXCL BLOOD)"
234,"H05","BLEEDING EAR"
235,"H13","PLUGGED FEELING EAR"
236,"H15","CONCERN, APPEARANCE OF EAR"
237,"H27","FEAR, EAR DISEASE"
238,"H28","LIMITED FUNCTN/DISABIL EAR"
239,"H29","EAR SYMPT/COMPLAINT, OTHER"
240,"H30","MED EXAM/CHECK, FULL, EAR"
241,"H31","MED EXAM/CHECK, PART, EAR"
242,"H70","OTITIS EXTERNA"
243,"H71","ACUTE OTITIS MEDIA/MYRINGITIS"
244,"H72","SEROUS OTITIS MEDIA"
245,"H73","EUSTACHIAN SALPINGITIS"
246,"H74","CHRONIC OTITIS MEDIA"
247,"H75","NEOPLASM EAR"
248,"H76","FOREIGN BODY IN EAR"
249,"H77","PERFORATION EAR DRUM"
250,"H78","INJURY EAR, SUPERFICIAL"
251,"H79","INJURY EAR, OTHER"
252,"H80","CONGENITAL ANOMALY EAR"
253,"H81","EXCESSIVE EAR WAX"
254,"H82","VERTIGINOUS SYNDROMES"
255,"H83","OTOSCLEROSIS"
256,"H84","PRESBYACUSIS"
257,"H85","ACOUSTIC TRAUMA"
258,"H86","DEAFNESS"
259,"H99","EAR/MASTOID DISEASE, OTHER"
260,"K01","PAIN, HEART"
261,"K02","PRESSURE/TIGHTNESS OF HEART"
262,"K03","PAIN, CARDIOVASCULAR NOS"
263,"K04","PALPITATIONS/AWARE  HEART"
264,"K05","IRREGULAR HEARTBEAT, OTHER"
265,"K06","PROMINENT VEINS"
266,"K07","SWOLLEN ANKLES/OEDEMA"
267,"K22","RISK FACTOR, CARDIOVASCULAR"
268,"K24","FEAR, HEART DISEASE"
269,"K25","FEAR, HYPERTENSION"
270,"K27","FEAR, CARDIOVASCULAR DISEASE"
271,"K28","LIMITED FUNCTN/DISABIL CARDIOVA"
272,"K29","CARDIOVASCULAR SYMPT/COM, OTHE"
273,"K30","MED EXAM/CHECK, FULL, CARDIOVA"
274,"K31","MED EXAM/CHECK, PART, CARDIOVA"
275,"K70","CARDIOVASCULAR SYSTEM INFECTIO"
276,"K71","RHEUMATIC FEVER/HEART DISEASE"
277,"K72","NEOPLASM CARDIOVASCULAR"
278,"K73","CONGENITAL ANOM CARDIOVASCU"
279,"K74","IHD WITH ANGINA"
280,"K75","ACUTE MYOCARDIAL INFARCTION"
281,"K76","IHD WITHOUT ANGINA"
282,"K77","HEART FAILURE"
283,"K78","ATRIAL FIBRILLATION/FLUTTER"
284,"K79","PAROXYSMAL TACHYCARDIA"
285,"K80","CARDIAC ARRHYTHMIA NOS"
286,"K81","HEART/ARTERIAL MURMER NOS"
287,"K82","PULMONARY HEART DISEASE"
288,"K83","HEART VALVE DISEASE NOS"
289,"K84","HEART DISEASE, OTHER"
290,"K85","ELEVATED BLOOD PRESSURE"
291,"K86","HYPERTENSION, UNCOMPLICATED"
292,"K87","HYPERTENSION, COMPLICATED"
293,"K88","POSTURAL HYPOTENSION (LOW BP"
294,"K89","TRANSIENT CEREBRAL ISCHAEMIA"
295,"K90","STROKE/CVA"
296,"K91","CVD (EXCL HEART/BRAIN)"
297,"K92","ATHEROSCLEROSIS/PVD"
298,"K93","PULMONARY EMBOLISM"
299,"K94","PHLEBITIS/THROMBOPHLEBITIS"
300,"K95","VARICOSE VEINS OF LEG"
301,"K96","HAEMORRHOIDS"
302,"K99","CARDIOVASCULAR DISEASE, OTHER"
303,"L01","NECK SYMPT/COMPLAINT"
304,"L02","BACK SYMPT/COMPLAINT"
305,"L03","LOW BACK SYMPT/COMPLAINT"
306,"L04","CHEST SYMPT/COMPL, MUSCULAR"
307,"L05","FLANK/AXILLA SYMPT/COMPL"
308,"L07","JAW SYMPT/COMPLAINT"
816,"L08","SHOULDER SYMPTOM/COMPLAINT"
309,"L09","ARM SYMPT/COMPLAINT"
310,"L10","ELBOW SYMPT/COMPLAINT"
311,"L11","WRIST SYMPT/COMPLAINT"
312,"L12","HAND & FINGER SYMPT/COMPLAIN"
313,"L13","HIP SYMPT/COMPLAINT"
314,"L14","LEG/THIGH SYMPT/COMPLAINT"
315,"L15","KNEE SYMPT/COMPLAINT"
316,"L16","ANKLE SYMPT/COMPLAINT"
317,"L17","FOOT & TOE SYMPT/COMPLAINT"
318,"L18","PAIN, MUSCLE"
319,"L19","MUSCLE SYMPT/COMPLAINT NOS"
320,"L20","JOINT SYMPT/COMPLAINT NOS"
321,"L26","FEAR, CANCER MUSCULOSKELETA"
322,"L27","FEAR, MUSCULOSKELETAL DISEAS"
323,"L28","LIMITED FUNCTN/DISABIL MUSCULO"
324,"L29","MUSCULOSKELETAL SYMPT/COMPLA"
325,"L30","MED EXAM/CHECK, FULL, MUSCULOS"
326,"L31","MED EXAM/CHECK, PART, MUSCUL"
327,"L70","MUSCULOSKELETAL INFECTION"
328,"L71","MALIGNT NEOPLASM MUSCULOSKEL"
329,"L72","FRACTURE, RADIUS/ULNA"
330,"L73","FRACTURE, TIBIA/FIBULA"
331,"L74","FRACTURE, HAND/FOOT BONE"
332,"L75","FRACTURE, FEMUR"
333,"L76","FRACTURE, OTHER"
334,"L77","SPRAINS & STRAINS, ANKLE"
335,"L78","SPRAINS & STRAINS, KNEE"
336,"L79","SPRAINS & STRAINS, JOINTS NOS"
337,"L80","DISLOCATION & SUBLUXATION"
338,"L81","INJURY MUSCULOSKELETAL NOS"
339,"L82","CONGENITAL ANOM MUSCULOSKEL"
340,"L83","NECK SYNDROME (INCL ARTHRIT)"
341,"L84","BACK SYNDROME, NO RADIATE PAIN"
342,"L85","ACQUIRED DEFORMITY OF SPINE"
343,"L86","BACK SYNDROME + RADIATING PAIN"
344,"L87","BURSITIS/TENDONITIS/SYNOVITIS"
345,"L88","RHEUMATOID ARTHRITIS"
346,"L89","OSTEOARTHROSIS OF HIP"
347,"L90","OSTEOARTHROSIS OF KNEE"
348,"L91","OSTEOARTHROSIS, OTHER"
349,"L92","SHOULDER SYNDROME (INCL ARTHRIT"
350,"L93","TENNIS ELBOW"
351,"L94","OSTEOCHONDROSIS"
352,"L95","OSTEOPOROSIS"
353,"L96","ACUTE INTERNAL DAMAGE KNEE"
354,"L97","BENIGN/UNCERT NEOPL MUSCULOSKE"
355,"L98","ACQUIRED DEFORMITY OF LIMB"
356,"L99","MUSCULOSKELETAL DISEASE, OTHER"
357,"N01","HEADACHE"
358,"N03","PAIN, FACE"
359,"N04","RESTLESS LEGS"
360,"N05","TINGLING FINGERS/FEET/TOES"
361,"N06","SENSATION DISTURBANCES, OTHER"
362,"N07","CONVULSIONS/SEIZURES"
363,"N08","ABNORMAL INVOLUNTARY MOVEMENTS"
364,"N16","DISTURBANCE SMELL/TASTE"
365,"N17","VERTIGO/DIZZINESS"
366,"N18","PARALYSIS/WEAKNESS"
367,"N19","SPEECH DISORDER"
817,"N26","FEAR OF CANCER OF NEUROLOGICAL SYSTEM"
818,"N27","FEAR OF NEUROLOGICAL DISEASE OTHER"
819,"N28","LIMITED FUNCTION/DISABILITY NEUROLOGICAL"
368,"N29","NEUROLOGICAL SYMPT/COMPLAINT"
369,"N30","MED EXAM/CHECK, FULL, NEUROLO"
370,"N31","MED EXAM/CHECK, PART, NEUROL"
371,"N44","PREVENT IMMUNISE/VACC, NEUROL"
372,"N70","POLIOMYELITIS"
373,"N71","MENINGITIS/ENCEPHALITIS"
374,"N72","TETANUS"
375,"N73","NEUROLOGICAL INFECTION, OTHER"
376,"N74","MALIGNT NEOPLASM NERVOUS SYS"
377,"N75","BENIGN NEOPLASM NERVOUS SYSTEM"
378,"N76","NEOPLASM UNCERTAIN NEUROLOG)"
379,"N79","CONCUSSION"
380,"N80","INJURY HEAD, OTHER"
381,"N81","INJURY NERVOUS SYSTEM, OTHER"
382,"N85","CONGENITAL ANOM NEUROLOGICA"
383,"N86","MULTIPLE SCLEROSIS"
384,"N87","PARKINSONISM"
385,"N88","EPILEPSY"
386,"N89","MIGRAINE"
387,"N90","CLUSTER HEADACHE"
388,"N91","FACIAL PARALYSIS/BELL'S PALSY"
389,"N92","TRIGEMINAL NEURALGIA"
390,"N93","CARPAL TUNNEL SYNDROME"
391,"N94","PERIPHERAL NEURITIS/NEUROPATHY"
392,"N95","TENSION HEADACHE"
393,"N99","NEUROLOGICAL DISEASE, OTHER"
394,"P01","FEELING ANXIOUS/NERVOUS/TENSE"
395,"P02","ACUTE STRESS REACTION"
396,"P03","FEELING DEPRESSED"
397,"P04","FEELING/BEHAVING IRRITABLE/ANG"
398,"P05","SENILITY, FEELING/BEHAVING OLD"
399,"P06","SLEEP DISTURBANCE"
400,"P07","SEXUAL DESIRE REDUCED"
401,"P08","SEXUAL FULFILMENT REDUCED"
402,"P09","CONCERN, SEXUAL PREFERENC"
403,"P10","STAMMERING, STUTTERING, TICS"
404,"P11","EATING PROBLEMS IN CHILDREN"
405,"P12","BEDWETTING, ENURESIS"
406,"P13","ENCOPRESIS/BOWEL TRAIN PROB"
407,"P15","CHRONIC ALCOHOL ABUSE"
408,"P16","ACUTE ALCOHOL ABUSE"
409,"P17","TOBACCO ABUSE"
410,"P18","MEDICATION ABUSE"
411,"P19","DRUG ABUSE"
412,"P20","MEMORY DISTURBANCE"
413,"P22","CHILD BEHAVIOR SYMPT/COMPL"
414,"P23","ADOLESCENT BEHAVIOUR SYMPTOM/C"
415,"P24","SPECIFIC LEARNING PROBLEM"
416,"P25","PHASE OF LIFE PROBLEM IN ADULT"
417,"P27","FEAR, MENTAL DISORDER"
820,"P28","LIMITED FUNCTION/DISABILITY PSYCHOLOGICAL"
418,"P29","PSYCHOLOGICAL SYMPT/COMPLAIN"
419,"P30","MED EXAM/CHECK, FULL, PSYCHOL"
420,"P31","MED EXAM/CHECK, PART, PSYCHOL"
421,"P70","DEMENTIA (INCL SENILE, ALZHEIM"
422,"P71","ORGANIC PSYCHOSIS, OTHER"
423,"P72","SCHIZOPHRENIA"
424,"P73","AFFECTIVE PSYCHOSIS"
425,"P74","ANXIETY DISORDER/ANXIETY STATE"
426,"P75","SOMATISATION DISORDER"
427,"P76","DEPRESSIVE DISORDER"
428,"P77","SUICIDE/SUICIDE ATTEMPT"
429,"P78","NEURASTHENIA, SURMENAGE"
430,"P79","PHOBIA, COMPULSIVE DISORDER"
431,"P80","PERSONALITY DISORDER"
432,"P81","HYPERKINETIC DISORDER"
433,"P82","POST TRAUMATIC STRESS DISORDER"
434,"P85","MENTAL RETARDATION"
435,"P86","ANOREXIA NERVOSA, BULIMIA"
436,"P98","PSYCHOSES NOS, OTHER"
437,"P99","PSYCHOLOGICAL DISORDERS, OTHER"
438,"R01","PAIN, RESPIRATORY SYSTEM"
439,"R02","SHORT OF BREATH, DYSPNOEA"
440,"R03","WHEEZING"
441,"R04","BREATHING PROBLEMS, OTHER"
442,"R05","COUGH"
443,"R06","NOSE BLEED/EPISTAXIS"
444,"R07","SNEEZING/NASAL CONGESTION"
445,"R08","NOSE SYMPT/COMPLAINT, OTHER"
446,"R09","SINUS SYMPT/COMPLAINT  (INCL"
447,"R21","THROAT SYMPT/COMPLAINT"
448,"R23","VOICE SYMPT/COMPLAINT"
449,"R24","HAEMOPTYSIS"
450,"R25","SPUTUM/PHLEGM ABNORMAL"
451,"R26","FEAR, CANCER  RESPIRATORY SYS"
452,"R27","FEAR, RESPIRATORY DISEASE, OTH"
453,"R28","LIMITED FUNCTN/DISABIL RESPIRA"
454,"R29","RESPIRATORY SYMPT/COMPLAINT"
455,"R30","MED EXAM/CHECK, FULL, RESPIRAT"
456,"R31","MED EXAM/CHECK, PART, RESPIRA"
457,"R44","PREVENT IMMUNISE/VACC, REPIRAT"
458,"R71","WHOOPING COUGH"
459,"R72","STREP THROAT"
460,"R73","BOIL, ABSCESS NOSE"
461,"R74","URTI,  ACUTE"
462,"R75","SINUSITIS ACUTE/CHRONIC"
463,"R76","TONSILLITIS ACUTE"
464,"R77","LARYNGITIS/TRACHEITIS, ACUTE"
465,"R78","ACUTE BRONCHITIS/BRONCHIOLITIS"
466,"R79","CHRONIC BRONCHITIS"
467,"R80","INFLUENZA"
468,"R81","PNEUMONIA"
469,"R82","PLEURISY/PLEURAL EFFUSION"
470,"R83","RESPIRATORY INFECTION, OTHER"
471,"R84","MALIGNT NEOPLASM BRONC/ LUNG"
472,"R85","MALIGNT NEOPLASM RESPIRATORY"
473,"R86","BENIGN NEOPLASM RESPIRATORY"
474,"R87","FOREIGN BODY IN NOSE/LARYNX/BR"
475,"R88","INJURY RESPIRATORY, OTHER"
476,"R89","CONGENITAL ANOM RESPIRATORY"
477,"R90","HYPERTROPHY TONSILS/ADENOIDS"
478,"R92","NEOPLASM UNCERTAIN REPIRATOR)"
479,"R95","CHRONIC OBSTRUCTIVE PULMONARY"
480,"R96","ASTHMA"
481,"R97","ALLERGIC RHINITIS"
482,"R98","HYPERVENTILATION SYNDROME"
483,"R99","RESPIRATORY DISEASE, OTHER"
484,"S01","PAIN, TENDERNESS OF SKIN"
485,"S02","PRURITUS"
486,"S03","WARTS"
487,"S04","LUMP/SWELLING, LOCALISED"
488,"S06","RASH LOCALIZED"
489,"S07","RASH GENERALIZED"
490,"S08","SKIN COLOR CHANGE"
491,"S09","INFECTED FINGER/TOE"
492,"S10","BOIL/CARBUNCLE"
493,"S11","SKIN INFECTION, POST TRAUMATIC"
494,"S12","INSECT BITE/STING"
495,"S13","ANIMAL/HUMAN BITE"
496,"S14","BURNS/SCALDS"
497,"S15","FOREIGN BODY IN SKIN"
498,"S16","BRUISE/CONTUSION"
499,"S17","ABRASION/SCRATCH/BLISTER"
500,"S18","LACERATION/CUT"
501,"S19","INJURY SKIN, OTHER"
502,"S20","CORNS/CALOSITIES"
503,"S21","SKIN TEXTURE SYMPT/COMPLAINT"
504,"S22","NAIL SYMPT/COMPLAINT"
505,"S23","HAIR LOSS/BALDN (INCL ALOPECIA)"
506,"S24","HAIR/SCALP SYMPT/COMPLAINT"
507,"S26","FEAR, CANCER  SKIN"
508,"S27","FEAR, SKIN DISEASE, OTHER"
509,"S29","SKIN SYMPT/COMPLAINT"
510,"S30","MED EXAM/CHECK, FULL, SKIN"
511,"S31","MED EXAM/CHECK, PART, SKIN"
512,"S70","HERPES ZOSTER"
513,"S71","HERPES SIMPLEX"
514,"S72","SCABIES AND OTHER ACARIASES"
515,"S73","PEDICULOSIS/SKIN INFESTATIONS,"
516,"S74","DERMATOPHYTOSIS"
517,"S75","MONILIASIS/CANDIDIASIS SKIN"
518,"S76","SKIN INFECTION, OTHER"
519,"S77","MALIGNT NEOPLASM SKIN"
520,"S78","LIPOMA"
521,"S79","BENIGN/UNCERT NEOPLASM SKIN"
522,"S80","SOLAR KERATOSIS/SUNBURN"
523,"S81","HAEMANGIOMA/LYMPHANGIOMA"
524,"S82","NAEVUS/MOLE"
525,"S83","CONGENITAL ANOM SKIN, OTHER"
526,"S84","IMPETIGO"
527,"S85","PILONIDAL CYST/FISTULA"
528,"S86","DERMATITIS, SEBORRHOEIC"
529,"S87","DERMATITIS, ATOPIC ECZEMA"
530,"S88","DERMATITIS, CONTACT/ALLERGIC"
531,"S89","DIAPER RASH"
532,"S90","PITYRIASIS ROSEA"
533,"S91","PSORIASIS"
534,"S92","SWEAT GLAND DISEASE"
535,"S93","SEBACEOUS CYST"
536,"S94","INGROWING NAIL"
537,"S95","MOLLUSCA CONTAGIOSUM"
538,"S96","ACNE"
539,"S97","CHRONIC ULCER SKIN (INCL VARICOSE"
540,"S98","URTICARIA"
541,"S99","SKIN DISEASE, OTHER"
542,"T01","EXCESSIVE THIRST"
543,"T02","EXCESSIVE APPETITE"
544,"T03","LOSS OF APPETITE"
545,"T04","FEEDING PROBLEM OF INFANT/CHIL"
546,"T05","FEEDING PROBLEM OF ADULT"
547,"T07","WEIGHT GAIN"
548,"T08","WEIGHT LOSS"
549,"T10","GROWTH DELAY"
