151,"Miscarriage;possible","possible miscarriage","W82","005","A"
152,"Motion sickness","motion sickness","A88","007","A"
153,"Myelitis","myelitis","N99","012","A"
154,"Moniliasis;skin;exclud urogen","skin moniliasis excluding urogenital","S75","002","A"
155,"Incompetence;mitral","mitral incompetence","K83","004","A"
156,"Insufficiency;vascul;mesentery","vascular insufficiency of the mesentery","D99","017","A"
157,"Mumps;meningitis","mumps meningitis","D71","002","A"
158,"Myasthenia Gravis","myasthenia gravis","N99","011","A"
159,"Mycoplasma","mycoplasma","A78","018","A"
160,"Disease;motor neuron","motor neuron disease","N99","010","A"
161,"Mycosis","mycoses","A78","017","A"
162,"Stenosis;mitral;rheumatic","rheumatic mitral stenosis","K71","005","A"
163,"Mongol","n/a","A90","004","I"
164,"Multiple sclerosis","multiple sclerosis","N86","001","A"
165,"Sympt/complaint;multiple","multiple symptoms or complaints","A29","005","A"
166,"Myalgia","myalgia","L18","003","A"
167,"Morning sickness;pregnant","morning sickness due to pregnancy","W05","001","A"
168,"Mumps ","mumps","D71","003","A"
169,"Pregnancy;multiple","multiple pregnancy","W84","002","A"
170,"Myeloma;malignant","malignant myeloma","B74","003","A"
171,"Allergy;nasal","nasal allergy","R97","003","A"
172,"Myoma;uterus","uterine myoma","X78","002","A"
173,"Myositis","myositis","L18","004","A"
174,"Mycosis;skin","skin mycoses","S74","006","A"
175,"Nasal packing (for) epistaxis","nasal packing for epistaxis","R56","007","A"
176,"Mumps;orchitis","mumps orchitis","D71","001","A"
177,"Cracked;nail(s)","cracked nail(s)","S22","002","A"
178,"Myringitis","myringitis","H71","001","A"
179,"Myositis;epidemic","epidemic myositis","L70","004","A"
180,"Ridged;nail(s)","ridged nails","S22","003","A"
181,"Nail biting","nail biting","P29","009","A"
182,"Myopia","myopia","F91","004","A"
183,"Myositis;infective","infective myositis","L70","005","A"
184,"Narcolepsy ","narcolepsy","N99","013","A"
185,"Splitting;nail(s)","splitting nails","S22","006","A"
186,"Myringitis;chronic","chronic myringitis","H74","002","A"
187,"Myopathy","myopathy","L99","023","A"
188,"Vestibulitis;nasal","nasal vestibulitis","R73","003","A"
189,"Myxoedema","myxoedema","T86","002","A"
190,"Necrosis;fat","fat necrosis","L99","024","A"
191,"Nausea;pregnancy","nausea due to pregnancy","W05","002","A"
192,"Neoplasm benign;bone(s)","n/a","L71","001","I"
193,"Neoplasm benign;nerve","benign neoplasm of the nerve","N75","003","A"
194,"Neoplasm benign;larynx","benign neoplasm of the larynx","R86","003","A"
195,"Nausea ","nausea","D09","002","A"
196,"Breaking;nail(s)","brittle nails","S22","004","A"
197,"Neoplasm benign;cardiovascular","benign neoplasm of the cardiovascular system","K72","001","A"
198,"Neoplasm benign;bronchus","benign neoplasm of the bronchus","R86","001","A"
199,"Necrosis;renal","renal necrosis","U99","006","A"
200,"Neoplasm benign;ligament","n/a","L71","003","I"
201,"Neoplasm benign;ovaries/tube","benign neoplasm of the ovaries/tube","X80","002","A"
202,"Neoplasm benign;brain ","benign neoplasm of the brain","N75","002","A"
203,"Neoplasm benign;digestive","benign neoplasm of the digestive system","D78","001","A"
204,"Obstruction;nasal","nasal obstruction","R08","002","A"
205,"Neoplasm benign;ear","benign neoplasm of the ear","H75","001","A"
206,"Neoplasm benign;lymphatics","benign neoplasm of the lymphatics","B75","002","A"
207,"Neoplasm benign;soft tissue","n/a","L71","006","I"
208,"Neoplasm benign;bladder","benign neoplasm of the bladder","U78","001","A"
209,"Neoplasm benign;blood","benign neoplasm of the blood","B75","001","A"
210,"Neoplasm benign;spinal cord","benign neoplasm of the spinal cord","N75","006","A"
211,"Neoplasm benign;meninges","benign neoplasm of the meninges","N75","005","A"
212,"Neoplasm benign;spleen","benign neoplasm of the spleen","B75","003","A"
213,"Neoplasm benign;respiratory","benign neoplasm of the respiratory system","R86","004","A"
214,"Neoplasm benign;prostate","benign neoplasm of the prostate","Y79","001","A"
215,"Neoplasm benign;lung","benign neoplasm of the lung","R86","002","A"
216,"Neoplasm benign;conn tissue","n/a","L71","002","I"
217,"Neoplasm benign;kidney","benign neoplasm of the kidney","U78","002","A"
218,"Neoplasm benign;musculoskelet","n/a","L71","005","I"
219,"Neoplasia","neoplasia","A79","002","A"
220,"Neoplasm benign;naevus;skin","benign skin naevus","S82","001","A"
221,"Neoplasm benign;skin;lipoma","benign lipoma of the skin","S78","002","A"
222,"Neoplasm benign;mole;skin","benign skin mole","S82","002","A"
223,"Neoplasm benign;neurological","benign neoplasm of the neurological system","N75","004","A"
224,"Neoplasm malig;anus","malignant neosplasm of the anus","D75","001","A"
225,"Neoplasm malig;bladder","malignant neosplasm of the bladder","U76","001","A"
226,"Neoplasm benign;tendon(s)","n/a","L71","007","I"
227,"Neoplasm benign;muscle(s)","n/a","L71","004","I"
228,"Neoplasm benign;ureter","benign neoplasm of the ureter","U78","003","A"
229,"Neoplasm benign;skin","benign neoplasm of the skin","S79","002","A"
230,"Neoplasm benign;thyroid gland","benign neoplasm of the thyroid gland","T72","002","A"
231,"Neoplasm malig;site unknown","malignant neoplasm unknown site","A79","003","A"
232,"Neoplasm malig;oesophagus","malignant neosplasm of the oesophagus","D77","002","A"
233,"Neoplasm malig;breast;F","malignant neosplasm of the female breast","X76","001","A"
234,"Neoplasm malig;breast:M","malignant neosplasm of the male breast","Y78","001","A"
235,"Neoplasm malig;glottis","malignant neosplasm of the glottis","R85","001","A"
236,"Neoplasm malig;bronchus","malignant neosplasm of the bronchus","R84","001","A"
237,"Neoplasm benign;eye","benign neoplasm of the eye","F74","001","A"
238,"Neoplasm malig;bone;marrow","malignant neosplasm of the bonemarrow","B74","005","A"
239,"Neoplasm benign;urethra","benign neoplasm of the urethra","U78","004","A"
240,"Neoplasm benign;placenta","benign neoplasm of the placenta","W73","001","A"
241,"Neoplasm malig;bone(s)","malignant neosplasm of the bone(s)","L71","008","A"
242,"Neoplasm malig;ear","malignant neosplasm of the ear","H75","002","A"
243,"Neoplasm malig;eye","malignant neosplasm of the eye","F74","002","A"
244,"Neuritis;lumbosacral","lumbosacral neuritis","L86","003","A"
245,"Neoplasm benign;uterus","benign neoplasm of the uterus","X78","003","A"
246,"Neoplasm malig;cardiovascular","malignant neosplasm of the cardiovascular system","K72","002","A"
247,"Neoplasm benign;urological","benign neoplasm of the urological system","U78","005","A"
248,"Neoplasm malig;digestive","malignant neosplasm of the digestive system","D77","004","A"
249,"Megacolon","megacolon","D99","018","A"
250,"Neoplasm malig;brain ","malignant neosplasm of the brain","N74","002","A"
251,"Neoplasm malig;blood","malignant neosplasm of the blood","B74","004","A"
252,"Neoplasm malig;intestine;small","malignant neosplasm of the small intestine","D77","003","A"
253,"Neoplasm malig;conn tissue","malignant neosplasm of the conn tissue","L71","009","A"
254,"Neoplasm malig;intestine;large","malignant neosplasm of the large intestine","D75","002","A"
255,"Mastopathy;F","female mastopathy","X21","002","A"
256,"Meckels diverticulum","n/a","D81","003","I"
257,"Meatitis","meatitis","U72","001","A"
258,"Measles ","measles","A71","001","A"
259,"Mastodynia;F","female mastodynia","X18","003","A"
260,"Neuritis;optic","optic neuritis","F99","011","A"
261,"Median Bar;prostate","Median Bar prostate","Y85","002","A"
262,"Injury;nerve;peripheral","peripheral nerve injury","N81","003","A"
263,"Neuritis","n/a","N99","015","I"
264,"Neoplasm malig;cervix","malignant neosplasm of the cervix","X75","001","A"
265,"Nodule(s);thyrotoxic;thyroid","thyrotoxic thyroid nodules","T85","003","A"
266,"Nervous tension","nervous tension","P01","015","A"
267,"Naevus;malignant","malignant naevus","S77","004","A"
268,"Neurosis","n/a","P79","005","I"
269,"Naevus;benign","benign naevus","S82","003","A"
270,"Neuralgia","neuralgia","N99","014","A"
271,"Nervous ","nervous","P01","014","A"
272,"Mastoiditis","mastoiditis","H74","003","A"
273,"Depressive neurosis","depressive neurosis","P76","007","A"
274,"Anxiety neurosis","anxiety neurosis","P74","004","A"
275,"Melanoma","melanoma","S77","003","A"
276,"Neuralgia;post-herpetic","post-herpetic neuralgia","S70","002","A"
277,"Naevus;blue","blue naevus","S82","005","A"
278,"Nightmares","nightmares","P06","004","A"
279,"Delivery;normal vag;stillbirth","normal vaginal delivery of a stillborn","W91","002","A"
280,"Neurotic","n/a","P79","007","I"
281,"Nodule(s);thyroid","thryoid nodules","T81","001","A"
282,"Naevus;congenital","congenital naevus","S82","006","A"
283,"Neurosis;hypochondriacal","hypochondriacal neurosis","P75","005","A"
284,"Naevus;functional","functional naevus","S82","004","A"
285,"Night sweats","night sweats","A09","002","A"
286,"Neurosis;obsessive","obsessive neurosis","P79","006","A"
287,"Lymph gland/nodes","n/a","B02","002","I"
288,"Naevus;cavernous","cavernous naevus","S81","006","A"
289,"Neuritis;thoracic","thoracic neuritis","L86","004","A"
290,"Nipples;supernumerary","n/a","S83","003","I"
291,"Not eating;adult","adult not eating","T05","001","A"
292,"Spider naevi","n/a","K99","013","I"
293,"Nystagmus","nystagmus","F14","002","A"
294,"Neuroma","neuroma","N75","007","A"
295,"Neurosis;hysterical","hysterical neurosis","P75","004","A"
296,"Nocturia","nocturia","U02","001","A"
297,"Naevus;pigmented","pigmented naevus","S82","007","A"
298,"Obstruction;prostatic","prostatic obstruction","Y85","003","A"
299,"Obesity (BMI>30)","obesity (BMI>30)","T82","003","A"
300,"Implant;oestrogen","oestrogen implant","T51","001","A"
301,"Obstruction;eustachian tube","eustachian tube obstruction","H73","005","A"
302,"Obstruction;bladder neck ","bladder neck obstruction","U99","007","A"
303,"Not eating;child","child not eating","T04","006","A"
304,"Occlusion;arterial","arterial occlusion","K92","007","A"
305,"Occlusion;coronary","coronary occlusion","K75","004","A"
306,"Oral contraceptive pill","n/a","W11","001","I"
307,"Test;pressure;ocular","ocular pressure test","F39","002","A"
308,"Obstruction;abdominal","abdominal obstruction","D99","019","A"
309,"Assessment;normal growth","normal growth assessment","A31","003","A"
310,"Jaundice;obstructive","obstructive jaundice","D13","002","A"
311,"Orf","orf","A78","019","A"
312,"Oophoritis","oophoritis","X74","005","A"
313,"Numbness","numbness","N06","008","A"
314,"Occlusion;precerebral","n/a","K92","008","I"
315,"Ornithosis","ornithosis","A77","011","A"
316,"Osteitis deformans","osteitis deformans","L99","026","A"
317,"Oliguria","oliguria","U05","006","A"
318,"Ophthalmia","ophthalmia","F99","013","A"
319,"Occlusion;cerebral","cerebral occlusion","K90","011","A"
320,"Osteitis;pyogenic","pyogenic osteitis","L70","006","A"
321,"Osteoporosis","osteoporosis","L95","001","A"
322,"Osteoma","osteoma","L71","010","A"
323,"Orchitis ","orchitis","Y74","001","A"
324,"Otitis media","otitis media","H71","003","A"
325,"Otitis media;nonsuppurative","nonsuppurative otitis media","H72","003","A"
326,"Injury;nerve;optic","optic nerve injury","N81","004","A"
327,"Otitis media;chronic","chronic otitis media","H74","004","A"
328,"Osteitis","osteitis","L99","025","A"
329,"Orthopnoea","orthopnoea","R02","008","A"
330,"Otitis media;acute","acute otitis media","H71","002","A"
331,"Otitis media;serous","serous otitis media","H72","004","A"
332,"Over eating","over eating","T02","006","A"
333,"Training;ostomy;digestive","digestive ostomy training","D57","001","A"
334,"Over worked","over worked","Z05","002","A"
335,"Out (of);breath","out of breath","R02","009","A"
336,"Otitis media;perforated","perforated otitis media","H71","004","A"
337,"Immunisation;overseas travel","overseas travel immunisation","A44","002","A"
338,"Oxyuriasis","n/a","D22","005","I"
339,"Packing;ear","packing ear","H56","001","A"
340,"Overdose;drug;medicinal","overdose with medicinal drug","A84","001","A"
341,"Otitis externa","otitis externa","H70","002","A"
342,"Pain;ovulation","ovulation pain","X03","001","A"
343,"Out (of);work","out of work","Z06","002","A"
344,"Pain;anal","anal pain","D04","001","A"
345,"Over-exertion","over-exertion","A88","008","A"
346,"Pain","n/a","A01","002","I"
347,"Neoplasm malig;rectum","malignant neosplasm of the rectum","D75","003","A"
348,"Neoplasm malig;placenta","malignant neosplasm of the placenta","W72","001","A"
349,"Overweight (BMI 25-30)","overweight (BMI<30)","T83","001","A"
350,"Neoplasm malig;parotid","malignant neosplasm of the parotid","D77","005","A"
351,"Over-exposure","over-exposure","A88","009","A"
352,"Paedophilia","paedophilia","P09","005","A"
353,"Neoplasm malig;soft tissue","malignant neosplasm of the soft tissue","L71","011","A"
354,"Pain;ankle","ankle pain","L16","001","A"
355,"Packing;rectal","rectal packing","D56","001","A"
356,"Pacemaker","pacemaker","A89","003","A"
357,"Nephrosis","nephrosis","U88","002","A"
358,"Neoplasm malig;thyroid gland","malignant neosplasm of the thyroid gland","T71","001","A"
359,"Nephrotic syndrome","nephrotic syndrome","U88","003","A"
360,"Neoplasm malig;stomach","malignant neosplasm of the stomach","D74","001","A"
361,"Neoplasm malig;spleen","malignant neosplasm of the spleen","B74","006","A"
362,"Neoplasm malig;tendon(s)","malignant neosplasm of the tendon(s)","L71","012","A"
363,"Nephropathy","nephropathy","U88","001","A"
364,"Neoplasm malig;prostate","malignant neosplasm of the prostate","Y77","001","A"
365,"Neoplasm malig;testis","malignant neosplasm of the testis","Y78","002","A"
366,"Neoplasm malig;ureter","malignant neosplasm of the ureter","U77","001","A"
367,"Neoplasm malig;respiratory","malignant neosplasm of the respiratory system","R85","003","A"
368,"Neoplasm malig;skin","malignant neosplasm of the skin","S77","005","A"
369,"Neoplasm malig;spinal cord","malignant neosplasm of the spinal cord","N74","003","A"
370,"Neoplasm malig;vocal cord","malignant neosplasm of the vocal cord","R85","004","A"
371,"Neoplasm malig;uterus","malignant neosplasm of the uterus","X77","001","A"
372,"Neoplasm malig;ligament","malignant neosplasm of the ligament","L71","013","A"
373,"Neoplasm malig;larynx","malignant neosplasm of the larynx","R85","005","A"
374,"Nephritis;in pregnancy","n/a","W77","003","I"
375,"Neoplasm malig;urethra","malignant neosplasm of the urethra","U77","002","A"
376,"Block;nerve","nerve block","N55","001","A"
377,"Glomerulonephritis","glomerulonephritis","U88","005","A"
378,"Entrapment;nerve","nerve entrapment","N94","003","A"
379,"Nephritis","nephritis","U88","004","A"
380,"Bad;nerves","bad nerves","P01","016","A"
381,"Neoplasm malig;trachea","malignant neosplasm of the trachea","R84","002","A"
382,"Injection;nerve(s)","nerve injection","N55","002","A"
383,"Neoplasm malig;pancreas","malignant neosplasm of the pancreas","D76","001","A"
384,"Neoplasm malig;lymphatics","malignant neosplasm of the lymphatics","B74","007","A"
385,"Neoplasm malig;musculoskeletal","malignant neosplasm of the musculoskeletal system","L71","014","A"
386,"Neoplasm malig;meninges","malignant neosplasm of the meninges","N74","006","A"
387,"Neoplasm malig;nerve","malignant neosplasm of the nerve","N74","004","A"
388,"Neoplasm malig;muscle(s)","malignant neosplasm of the muscles","L71","015","A"
389,"Neoplasm malig;kidney","malignant neosplasm of the kidney","U75","002","A"
390,"Neoplasm malig;bowel;large","malignant neosplasm of the large bowel","D75","004","A"
391,"Pain;musculoskeletal;chest","musculoskeletal chest pain","L04","001","A"
392,"Neoplasm malig;lung","malignant neosplasm of the lung","R84","003","A"
393,"Neoplasm malig;neurological","malignant neosplasm of the neurological system","N74","005","A"
394,"Neoplasm malig;ovaries/tubes","malignant neosplasm of the ovaries or tubes","X77","002","A"
395,"Pain;breast;M","male breast pain","Y16","002","A"
396,"Pain;respiratory;chest","respiratory chest pain","R01","002","A"
397,"Pain;gallbladder","gallbladder pain","D06","009","A"
398,"Pain;defaecation","pain on defaecation","D04","002","A"
399,"Pain;cardiovascular","n/a","K01","003","I"
400,"Pain;buttock","pain in the buttock","L14","001","A"
401,"Pain;breathing","painful breathing","R01","001","A"
402,"Pain;elbow","elbow pain","L10","001","A"
403,"Pain;cardiovascular;chest","cardiovascular chest pain","K01","002","A"
404,"Pain;generalised","generalised pain","A01","003","A"
405,"Pain;testes","pain in testes","Y02","001","A"
406,"Pain;head","head pain","N01","004","A"
407,"Pain;musculoskeletal;foot/feet","musculoskeletal foot/feet pain","L17","002","A"
408,"Pain;foot/feet","foot/feet pain","L17","001","A"
409,"Pain;finger(s)","finger pain","L12","002","A"
410,"Pain;nerve;face","face nerve pain","N03","002","A"
411,"Pain;face","face pain","N03","001","A"
412,"Pain;eye","eye pain","F01","001","A"
413,"Pain;flank","flank pain","L05","001","A"
414,"Pain;gastric","gastric pain","D02","001","A"
415,"Pain;musculoskeletal;finger(s)","musculoskeletal finger pain","L12","001","A"
416,"Pain;musculoskeletal;elbow","musculoskeletal elbow pain","L10","002","A"
417,"Pain;joint(s)","joint pain","L20","005","A"
418,"Pain;scrotum","pain in the scrotum","Y02","002","A"
419,"Pain;gums","pain in the gums","D19","002","A"
420,"Pain;iliac fossa","iliac fossa pain","D06","010","A"
421,"Pain;groin","groin pain","L14","002","A"
422,"Pain;hand","hand pain","L12","004","A"
423,"Pain;musculoskeletal;hip","musculoskeletal hip pain","L13","002","A"
424,"Pain;genital;F","female genital  pain","X01","001","A"
425,"Pain;hip","hip pain","L13","001","A"
426,"Pain;hypochondrium","hypochondrical pain","D06","011","A"
427,"Pain;genital;pelvis;M","n/a","Y02","003","I"
428,"Pain;bone","bone pain","L29","004","A"
429,"Pain;jaw","jaw pain","L07","001","A"
430,"Pain;musculoskeletal;ankle","musculoskeletal ankle pain","L16","002","A"
431,"Pain;musculoskeletal;hand","musculoskeletal hand pain","L12","003","A"
432,"Pain;bladder","bladder pain","U13","002","A"
433,"Pain;musculoskeletal;back","musculoskeletal back pain","L02","004","A"
434,"Pain;musculoskeletal;arm","musculoskeletal arm pain","L09","002","A"
435,"Pain;intermenstrual","intermenstrual pain","X03","002","A"
436,"Pain;arm","arm pain","L09","001","A"
437,"Pain;back low;acute","acute low back pain","L03","005","A"
438,"Pain;back","back pain","L02","003","A"
439,"Pain;breast;lactating","lactating breast pain","W19","003","A"
440,"Pigeon toed","pigeon toed","L82","009","A"
441,"Pityriasis rosea","pityriasis rosea","S90","001","A"
442,"Pityriasis rubra ","pityriasis rubra","S90","003","A"
443,"Pain;body","body pain","A01","004","A"
444,"Pilonidal sinus","pilonidal sinus","S85","003","A"
445,"Pimples","pimples","S96","005","A"
446,"Piles","piles","K96","002","A"
447,"Pain;genital;penis;M","n/a","Y01","001","I"
448,"Pain;musculoskeletal;low back","musculoskeletal lower back pain","L03","004","A"
449,"Polyp(s);nasal","nasal polyp","R99","005","A"
450,"Poisoning;ivy ","ivy poisoning","S88","007","A"
451,"Test;blood;platelets","platelet blood test","B34","005","A"
452,"Pinworms","n/a","D22","006","I"
453,"Reduction (of);piles","reduction of piles","K56","002","A"
454,"Pleurisy","pleurisy","R82","001","A"
455,"Pityriasis versicolor","pityriasis versicolor","S74","007","A"
456,"Pityriasis alba","pityriasis alba","S90","002","A"
457,"Pleurisy;serous","n/a","R93","003","I"
458,"Pinguecula","pinguecula","F99","015","A"
459,"Piles;thrombosed external","external thrombosed piles","K96","003","A"
460,"Pain;back;radiating;thoracic","radiating thoracic back pain","L86","005","A"
461,"Pigeon chest","pigeon chest","R89","002","A"
462,"Pollution (of environment)","pollution (of environment)","Z29","004","A"
463,"Plague ","plague","A78","020","A"
464,"Poisoning;oak","oak poisoning","S88","008","A"
465,"Polyp(s);vocal cord","vocal cord polyp","R99","006","A"
466,"Phenylketonuria","phenylketonuria","T99","023","A"
467,"Polydipsia","polydipsia","T01","002","A"
468,"Polyp(s);skin","skin polyp","S79","003","A"
469,"Plaster (for);dislocation","plaster for dislocation","L54","013","A"
470,"Polyp(s);endometrial","n/a","X81","001","I"
471,"Poisoning;lead","lead poisoning","A86","003","A"
472,"Pleurisy;tuberculous","n/a","R70","002","I"
473,"Pain;muscle(s)","muscle pain","L18","006","A"
474,"Polyp(s);rectal","rectal polyp","D78","002","A"
